,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
218,"39.450882999074096, -0.3661829999999993","{""coordinates"": [-0.366183, 39.450882999074096], ""type"": ""Point""}",CEIP LES ARTS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LES ARTS,PÚBLICO,"AV. HERMANOS MARISTAS, S/N",46013,962566750,962566751,46012732@edu.gva.es,Quatre Carreres,D'EDUCACIÓ INFANTIL I PRIMÀRIA
219,"39.43412699907419, -0.3935190000000007","{""coordinates"": [-0.393519, 39.43412699907419], ""type"": ""Point""}",CEIP PADRE MANJÓN,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PADRE MANJÓN,PÚBLICO,"CL. FERNANDO CABEDO TORRENTS, S/N",46017,962566690,962566691,46012768@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
220,"39.46059599907405, -0.39701500000000045","{""coordinates"": [-0.397015, 39.46059599907405], ""type"": ""Point""}",CEIP RODRÍGUEZ FORNOS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,RODRÍGUEZ FORNOS,PÚBLICO,"CL. VIRGEN DE LA CABEZA, 26",46014,961205835,961205836,46012771@edu.gva.es,Olivereta,D'EDUCACIÓ INFANTIL I PRIMÀRIA
221,"39.49134099907385, -0.391152","{""coordinates"": [-0.391152, 39.49134099907385], ""type"": ""Point""}",CEIP SALVADOR TUSET,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SALVADOR TUSET,PÚBLICO,"CL. ALAMO, 2",46025,962566730,962566731,46012811@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
222,"39.49968199907378, -0.393271000000001","{""coordinates"": [-0.393271, 39.49968199907378], ""type"": ""Point""}",CEIP CIUTAT ARTISTA FALLER,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CIUTAT ARTISTA FALLER,PÚBLICO,"PZ. REGINO MAS, S/N",46025,961205475,961205476,46012823@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
223,"39.468230999073995, -0.377174999999999","{""coordinates"": [-0.377175, 39.468230999073995], ""type"": ""Point""}",IES LUIS VIVES,INSTITUT D'EDUCACIÓ SECUNDÀRIA,LUIS VIVES,PÚBLICO,"CL. SAN PABLO, 4",46002,961205945,961205946,46012872@edu.gva.es,Ciutat Vella,D'EDUCACIÓ SECUNDÀRIA
224,"39.46475799907402, -0.36772500000000086","{""coordinates"": [-0.367725, 39.46475799907402], ""type"": ""Point""}",IES SAN VICENTE FERRER,INSTITUT D'EDUCACIÓ SECUNDÀRIA,SAN VICENTE FERRER,PÚBLICO,"CL. ALMIRANTE CADARSO, 20-22",46005,961206175,961206176,46012902@edu.gva.es,L'Eixample,D'EDUCACIÓ SECUNDÀRIA
225,"39.454850999074075, -0.39567900000000034","{""coordinates"": [-0.395679, 39.454850999074075], ""type"": ""Point""}",IES JUAN DE GARAY,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JUAN DE GARAY,PÚBLICO,"CL. JUAN DE GARAY, 25",46017,961206045,961206046,46012963@edu.gva.es,Jesus,D'EDUCACIÓ SECUNDÀRIA
226,"39.47859299907391, -0.3256950000000012","{""coordinates"": [-0.325695, 39.47859299907391], ""type"": ""Point""}",IES ISABEL DE VILLENA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,ISABEL DE VILLENA,PÚBLICO,"CL. ISABEL DE VILLENA, 4",46011,961206190,961206191,46013086@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ SECUNDÀRIA
227,"39.46769399907399, -0.33887000000000017","{""coordinates"": [-0.33887, 39.46769399907399], ""type"": ""Point""}",IES SOROLLA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,SOROLLA,PÚBLICO,"CL. JOSÉ MARÍA HARO, 2",46022,961206060,961206061,46013098@edu.gva.es,Camins al Grau,D'EDUCACIÓ SECUNDÀRIA
228,"39.46364599907402, -0.3680999999999998","{""coordinates"": [-0.3681, 39.46364599907402], ""type"": ""Point""}",CIPFP VICENTE BLASCO IBÁÑEZ,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL,VICENTE BLASCO IBÁÑEZ,PÚBLICO,"AV. REGNE DE VALENCIA, 46",46005,961205915,961205916,46013104@edu.gva.es,L'Eixample,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL
229,"39.466488999073995, -0.4025980000000001","{""coordinates"": [-0.402598, 39.466488999073995], ""type"": ""Point""}",CEIP RAQUEL PAYA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,RAQUEL PAYA,PÚBLICO,"CL. MÚSICO AYLLON, 41",46018,962566330,962566331,46013426@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
230,"39.44607799907413, -0.3917100000000005","{""coordinates"": [-0.39171, 39.44607799907413], ""type"": ""Point""}",CEIP SARA FERNÁNDEZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SARA FERNÁNDEZ,PÚBLICO,"CL. REVERENDO JOSÉ NOGUERA, 4",46017,962566760,962566761,46013463@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
231,"39.4807219990739, -0.36430100000000104","{""coordinates"": [-0.364301, 39.4807219990739], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SANTA KLAUS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SANTA KLAUS,PRIVADO,"CL. JAIME ROIG, 6",46010,963692358,0,escuela.infantil.santa.klaus@gmail.com,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
232,"39.47681699907393, -0.3830410000000006","{""coordinates"": [-0.383041, 39.47681699907393], ""type"": ""Point""}",CENTRE PRIVAT FP CIUTAT VELLA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CIUTAT VELLA,CONCERTADO,"CL. PINTOR ZARIÑENA, 7",46003,963926300,963926300,informacion@centreciutatvella.com,Ciutat Vella,FORMACIÓ PROFESSIONAL ESPECÍFICA
233,"39.49752499907381, -0.3991129999999986","{""coordinates"": [-0.399113, 39.49752499907381], ""type"": ""Point""}",CENTRE PRIVAT ARGOS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ARGOS,CONCERTADO,"AV. BURJASSOT, 291",46015,963490734,963490734,colegio-argos@colegio-argos.es,Benicalap,D'EDUCACIÓ INFANTIL
234,"39.454121999074054, -0.3640690000000002","{""coordinates"": [-0.364069, 39.454121999074054], ""type"": ""Point""}",IES FONT DE SANT LLUÍS,INSTITUT D'EDUCACIÓ SECUNDÀRIA,FONT DE SANT LLUÍS,PÚBLICO,"AV. HERMANOS MARISTAS, 25",46013,961206065,961206066,46014224@edu.gva.es,Quatre Carreres,D'EDUCACIÓ SECUNDÀRIA
235,"39.46181799907402, -0.3815500000000007","{""coordinates"": [-0.38155, 39.46181799907402], ""type"": ""Point""}",CENTRE PRIVAT FP INS. INTER IV,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,INS. INTER IV,PRIVADO,"CL. GIL Y MORTE, 27-29",46007,963519365,963411542,director@institutointer.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
236,"39.45441999907407, -0.40336599999999984","{""coordinates"": [-0.403366, 39.45441999907407], ""type"": ""Point""}",CEIP NICOLAU PRIMITIU GÓMEZ SERRANO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,NICOLAU PRIMITIU GÓMEZ SERRANO,PÚBLICO,"CL. ARQUITECTO SEGURA DEL LAGO, 9",46014,962566070,962566071,46014856@edu.gva.es,Olivereta,D'EDUCACIÓ INFANTIL I PRIMÀRIA
237,"39.46936299907397, -0.3582570000000006","{""coordinates"": [-0.358257, 39.46936299907397], ""type"": ""Point""}",EI APÓSTOL SANTIAGO,ESCOLA INFANTIL,APÓSTOL SANTIAGO,PÚBLICO,"PZ. PERIODISTA VICENTE ROS BELDA, 1",46021,961205470,961205471,46015174@edu.gva.es,Pla del Real,ESCOLA INFANTIL
238,"39.489858999073846, -0.40165499999999915","{""coordinates"": [-0.401655, 39.489858999073846], ""type"": ""Point""}",EI NIÑO JESÚS,ESCOLA INFANTIL,NIÑO JESÚS,PÚBLICO,"CL. SAN CLEMENTE, 13",46015,961205855,961205856,46015231@edu.gva.es,Benicalap,ESCOLA INFANTIL
239,"39.4813199990739, -0.3985800000000006","{""coordinates"": [-0.39858, 39.4813199990739], ""type"": ""Point""}",IES CAMPANAR,INSTITUT D'EDUCACIÓ SECUNDÀRIA,CAMPANAR,PÚBLICO,"PZ. BADAJOZ, S/N",46015,961206205,961206206,46015711@edu.gva.es,Benicalap,D'EDUCACIÓ SECUNDÀRIA
240,"39.469437999073975, -0.3513590000000008","{""coordinates"": [-0.351359, 39.469437999073975], ""type"": ""Point""}",CEIP ANGELINA CARNICER,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ANGELINA CARNICER,PÚBLICO,"CL. PUEBLA DE FARNALS, 30",46021,962565270,962565271,46015782@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
241,"39.454726999074076, -0.3790550000000004","{""coordinates"": [-0.379055, 39.454726999074076], ""type"": ""Point""}",CEIP RAFAEL MATEU CÁMARA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,RAFAEL MATEU CÁMARA,PÚBLICO,"PZ. CERAMISTA GIMENO, S/N",46006,962566720,962566721,46015800@edu.gva.es,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
242,"39.48431899907388, -0.3553820000000006","{""coordinates"": [-0.355382, 39.48431899907388], ""type"": ""Point""}",CEIP PARE CATALÀ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PARE CATALÀ,PÚBLICO,"CL. PARE ALEGRE, 22",46020,961205400,961205401,46015885@edu.gva.es,Benimaclet,D'EDUCACIÓ INFANTIL I PRIMÀRIA
243,"39.47142099907397, -0.3848699999999995","{""coordinates"": [-0.38487, 39.47142099907397], ""type"": ""Point""}","CENTRE PRIVAT FP DANIEL MATALLÍN, SL",CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,"DANIEL MATALLÍN, SL",PRIVADO,"CL. MAESTRO PALAU, 7-10",46008,963911367,963917424,gestion@danielmatallin.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
245,"39.48373999907389, -0.3468310000000004","{""coordinates"": [-0.346831, 39.48373999907389], ""type"": ""Point""}",ESCOLA SUPERIOR D'ART DRAMÀTIC,ESCOLA SUPERIOR D'ART DRAMÀTIC,,PÚBLICO,"CM. DE VERA, 29",46022,961206980,961206981,46016993@iseacv.gva.es,Camins al Grau,ESCOLA SUPERIOR D'ART DRAMÀTIC
246,"39.48933699907385, -0.37929900000000105","{""coordinates"": [-0.379299, 39.48933699907385], ""type"": ""Point""}",IES EL CLOT,INSTITUT D'EDUCACIÓ SECUNDÀRIA,EL CLOT,PÚBLICO,"CL. JUST RAMÍREZ, 34",46009,961205950,961205951,46017195@edu.gva.es,Campanar,D'EDUCACIÓ SECUNDÀRIA
247,"39.4980059990738, -0.37426500000000046","{""coordinates"": [-0.374265, 39.4980059990738], ""type"": ""Point""}",CEIP ANTONIO MACHADO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ANTONIO MACHADO,PÚBLICO,"PZ. SAN JERÓNIMO, S/N",46019,962565280,962566281,46017237@edu.gva.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
248,"39.484418999073895, -0.3944989999999993","{""coordinates"": [-0.394499, 39.484418999073895], ""type"": ""Point""}",CEIP COMUNITAT VALENCIANA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,COMUNITAT VALENCIANA,PÚBLICO,"AV. PÍO XII, 34",46015,962565290,962565291,46017729@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
249,"39.46475799907402, -0.4101419999999999","{""coordinates"": [-0.410142, 39.46475799907402], ""type"": ""Point""}",IES NÚMERO 26,INSTITUT D'EDUCACIÓ SECUNDÀRIA,NÚMERO 26,PÚBLICO,"CL. CASA DE LA MISERICORDIA, 34",46014,961206085,961206086,46018059@edu.gva.es,Olivereta,D'EDUCACIÓ SECUNDÀRIA
250,"39.461626999074035, -0.40206300000000106","{""coordinates"": [-0.402063, 39.461626999074035], ""type"": ""Point""}",CEIP CIUDAD DE BOLONIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CIUDAD DE BOLONIA,PÚBLICO,"CL. TORRENT, 35",46014,961205735,961205736,46018141@edu.gva.es,Olivereta,D'EDUCACIÓ INFANTIL I PRIMÀRIA
251,"39.47867199907392, -0.3515190000000005","{""coordinates"": [-0.351519, 39.47867199907392], ""type"": ""Point""}",CEIP FEDERICO GARCÍA LORCA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FEDERICO GARCÍA LORCA,PÚBLICO,"CL. CLARIANO, S/N",46021,962566260,962566261,46018333@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
252,"39.46515599907401, -0.3369180000000002","{""coordinates"": [-0.336918, 39.46515599907401], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE DANSA MARÍA CARBONELL,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE DANSA,ESTUDIO DANZA MARÍA CARBONELL,PRIVADO,"CL. ALCALDE CANO COLOMA, 7",46022,963805843,963934789,info@mariacarbonell.com,Camins al Grau,DANSA
253,"39.47738799907393, -0.32769200000000004","{""coordinates"": [-0.327692, 39.47738799907393], ""type"": ""Point""}",CENTRE PÚBLIC FPA MALVARROSA,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,MALVARROSA,PÚBLICO,"PZ. CRONISTA FCO. MOMBLANCH, S/N",46011,961206775,961206776,46019416@edu.gva.es,Poblados Marítimos,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
254,"39.466124999074, -0.3424540000000007","{""coordinates"": [-0.342454, 39.466124999074], ""type"": ""Point""}",CENTRE PÚBLIC FPA CENTRO SOCIAL DEL GRAO,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,CENTRO SOCIAL DEL GRAO,PÚBLICO,"CL. JERÓNIMO MONSORIU, 19",46022,961206995,961206996,46019428@edu.gva.es,Camins al Grau,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
255,"39.49490499907381, -0.36684599999999956","{""coordinates"": [-0.366846, 39.49490499907381], ""type"": ""Point""}",CENTRE PÚBLIC FPA REINA DOÑA GERMANA,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,REINA DOÑA GERMANA,PÚBLICO,"CL. ESTEBAN DOLZ DEL CASTELLAR, 2",46019,961206780,961206781,46019453@edu.gva.es,Rascanya,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
256,"39.46702099907401, -0.4018910000000016","{""coordinates"": [-0.401891, 39.46702099907401], ""type"": ""Point""}",CENTRE PÚBLIC FPA PARC DE L'OEST,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,PARC DE L'OEST,PÚBLICO,"CL. SUMACARCEL, S/N",46018,961206790,961206791,46019489@edu.gva.es,Patraix,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
257,"39.48195099907391, -0.3552749999999993","{""coordinates"": [-0.355275, 39.48195099907391], ""type"": ""Point""}",IES FRANCESC FERRER I GUÀRDIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,FRANCESC FERRER I GUÀRDIA,PÚBLICO,"CL. EMILI PANACH I RAMOS MILO, S/N",46020,961206245,961206246,46019571@edu.gva.es,Benimaclet,D'EDUCACIÓ SECUNDÀRIA
258,"39.47235699907395, -0.3501770000000014","{""coordinates"": [-0.350177, 39.47235699907395], ""type"": ""Point""}",CEIP L'AMISTAT,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,L'AMISTAT,PÚBLICO,"CL. SÉNECA, 13",46022,961205740,961205741,46019817@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
259,"39.47186399907396, -0.35662700000000025","{""coordinates"": [-0.356627, 39.47186399907396], ""type"": ""Point""}",CEIP MESTALLA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MESTALLA,PÚBLICO,"CL. ERNESTO FERRER, 2",46021,962566680,962566681,46019866@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
260,"39.48004199907392, -0.37167099999999986","{""coordinates"": [-0.371671, 39.48004199907392], ""type"": ""Point""}",CEE PRIV. PARÁLISIS CEREBRAL INFANTIL CRUZ ROJA,CENTRE PRIVAT D'EDUCACIÓ ESPECIAL,PARÁLISIS CEREBRAL INFANTIL CRUZ ROJA,CONCERTADO,"CL. ALBORAIA, 4-6",46010,963695954,901706698,cpcicole@cruzroja.es,Pla del Real,D'EDUCACIÓ ESPECIAL
262,"39.470050999073955, -0.3305660000000013","{""coordinates"": [-0.330566, 39.470050999073955], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA POBLADOS MARÍTIMOS,ESCOLA PRIVADA DE MÚSICA,POBLADOS MARÍTIMOS,PRIVADO,"CL. ESCALANTE, 201",46011,963550804,0,administracion@pobladosmaritimos.com,Poblados Marítimos,MÚSICA
263,"39.449384999074105, -0.3904489999999997","{""coordinates"": [-0.390449, 39.449384999074105], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE L'ÀNEC BOIG,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,L'ÀNEC BOIG,PRIVADO,"AV. PRIMERO DE MAYO, 43",46017,963773788,963786762,info@lanecvalencia.com,Jesus,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
264,"39.47124299907398, -0.3839740000000002","{""coordinates"": [-0.383974, 39.47124299907398], ""type"": ""Point""}",CENTRE ELEMENTAL DE DANSA SOCIETAT CORAL EL MICALET,CENTRE AUTORITZAT ELEMENTAL DE DANSA,INSTITUT DANSA SOCIETAT CORAL EL MICALET,PRIVADO,"CL. GUILLEM DE CASTRO, 73",46008,963921856,963913267,info@elmicalet.cat,Extramurs,DANSA
265,"39.46155599907403, -0.39774600000000004","{""coordinates"": [-0.397746, 39.46155599907403], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE EL CABIROL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,EL CABIROL,PRIVADO,"CL. ALQUERIA BENLLOCH, 11",46014,963570245,0,elcabirol@hotmail.com,Olivereta,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
267,"39.48235299907389, -0.3706009999999997","{""coordinates"": [-0.370601, 39.48235299907389], ""type"": ""Point""}",CENTRE PRIVAT FP C.ESTUDIOS FINANCIEROS,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CENTRO ESTUDIOS FINANCIEROS,PRIVADO,"CL. ALBORAIA, 23",46010,963614199,963933354,info@cef.es,Pla del Real,FORMACIÓ PROFESSIONAL ESPECÍFICA
268,"39.460373999074044, -0.38514600000000027","{""coordinates"": [-0.385146, 39.460373999074044], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL GIORGETA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,GIORGETA,CONCERTADO,"AV. GIORGETA, 25",46007,963420970,0,ei@giorgeta.com,Extramurs,D'EDUCACIÓ INFANTIL
269,"39.45587899907407, -0.37241199999999974","{""coordinates"": [-0.372412, 39.45587899907407], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA CRA./FUENTE SAN LUIS,ESCOLA PRIVADA DE MÚSICA,CRA./FUENTE SAN LUIS,PRIVADO,"CL. MAS Y BOHER, 15",46006,963749097,0,agrupsanluis@hotmail.com,L'Eixample,MÚSICA
270,"39.453997999074076, -0.3781700000000008","{""coordinates"": [-0.37817, 39.453997999074076], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA AMPARO ITURBI,ESCOLA PRIVADA DE MÚSICA,AMPARO ITURBI,PRIVADO,"CL. PIANISTA AMPARO ITURBI, 64",46006,963282192,0,emamparoiturbi@hotmail.es,L'Eixample,MÚSICA
271,"39.49152699907384, -0.3698870000000012","{""coordinates"": [-0.369887, 39.49152699907384], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA DE ORRIOLS,ESCOLA PRIVADA DE MÚSICA,ORRIOLS,PRIVADO,"CL. REIG GENOVÉS, S/N",46019,661309889,0,mj.g.g@hotmail.com,Rascanya,MÚSICA
273,"39.46767799907398, -0.41028700000000107","{""coordinates"": [-0.410287, 39.46767799907398], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE CASA CUNA SANTA ISABEL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CASA CUNA SANTA ISABEL,PRIVADO,"CL. CASA DE LA MISERICORDIA, 8",46014,963790133,963797043,administracion@casacunasantaisabel.com,Olivereta,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
274,"39.47691599907394, -0.3854869999999996","{""coordinates"": [-0.385487, 39.47691599907394], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE TURIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,TURIA,PRIVADO,"CL. TURIA, 49",46008,963065122,0,j.i.turia@hotmail.es,Extramurs,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
275,"39.47458399907395, -0.3911820000000005","{""coordinates"": [-0.391182, 39.47458399907395], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL LA AURORA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,LA AURORA,CONCERTADO,"CL. QUART, 132",46008,963840000,963846467,correo@ei-laaurora.com,Extramurs,D'EDUCACIÓ INFANTIL
276,"39.453144999074084, -0.387923","{""coordinates"": [-0.387923, 39.453144999074084], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL BAMBINOS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,BAMBINOS,PRIVADO,"CL. PREVISORA, 27",46017,963774133,0,info@escuelainfantilbambinos.com,Jesus,D'EDUCACIÓ INFANTIL
277,"39.495819999073824, -0.3997889999999991","{""coordinates"": [-0.399789, 39.495819999073824], ""type"": ""Point""}",IES BENICALAP,INSTITUT D'EDUCACIÓ SECUNDÀRIA,BENICALAP,PÚBLICO,"CL. DOCTOR NICASIO BENLLOCH, S/N",46015,961206305,961206306,46023547@edu.gva.es,Benicalap,D'EDUCACIÓ SECUNDÀRIA
278,"39.46012799907403, -0.38753600000000044","{""coordinates"": [-0.387536, 39.46012799907403], ""type"": ""Point""}",CENTRE PRIVAT FP C.ESTUDIOS RODRIGO-GIORGETA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,CENTRO ESTUDIOS RODRIGO-GIORGETA,CONCERTADO,"CL. MARQUÉS DEL CAMPO, 7",46007,963803557,0,fp@rodrigogiorgeta.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
279,"39.464111999074014, -0.4052820000000004","{""coordinates"": [-0.405282, 39.464111999074014], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA FRANCISCA PASCUAL,ESCOLA PRIVADA DE MÚSICA,FRANCISCA PASCUAL,PRIVADO,"AV. TRES CRUCES, 49",46018,963792369,963792233,lapurisima@hfi.es,Patraix,MÚSICA
280,"39.46691999907398, -0.33892400000000084","{""coordinates"": [-0.338924, 39.46691999907398], ""type"": ""Point""}",CEP AIORA,COL·LEGI D'EDUCACIÓ PRIMÀRIA,AIORA,PÚBLICO,"CL. JUSTO Y PASTOR, 136",46022,962566870,962566871,46023882@edu.gva.es,Camins al Grau,D'EDUCACIÓ PRIMÀRIA
281,"39.49011899907384, -0.3914740000000002","{""coordinates"": [-0.391474, 39.49011899907384], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE AMADEUS SCHOOL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,AMADEUS SCHOOL,PRIVADO,"CL. FLORISTA, 7-B",46015,963407560,963480803,info@amadeuschool.com,Benicalap,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
282,"39.476239999073925, -0.36274400000000073","{""coordinates"": [-0.362744, 39.476239999073925], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL SAN PASCUAL BAYLÓN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,SAN PASCUAL BAYLÓN,PRIVADO,"CL. DOCTOR MOLINER, 10",46010,963695663,963695663,eispb@hotmail.com,Pla del Real,D'EDUCACIÓ INFANTIL
283,"39.45145899907409, -0.3926969999999999","{""coordinates"": [-0.392697, 39.45145899907409], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE CARAGOLS I MARIETES II,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,CARAGOLS I MARIETES II,PRIVADO,"CL. LITOGRAFO PASCUAL Y ABAD, 9",46017,649244931,0,e.i.caragolsimarietes@gmail.com,Jesus,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
284,"39.46136199907403, -0.3689860000000004","{""coordinates"": [-0.368986, 39.46136199907403], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BAMBI,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BAMBI,PRIVADO,"CL. PINTOR SALVADOR ABRIL, 41",46005,963735598,963735598,eibambi@yahoo.es,L'Eixample,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
285,"39.45760099907405, -0.369436999999999","{""coordinates"": [-0.369437, 39.45760099907405], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL SAN LUIS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,SAN LUIS,PRIVADO,"CL. PERFECTO, 19-21",46006,963333269,0,cslg.informacion@gmail.com,L'Eixample,D'EDUCACIÓ INFANTIL
286,"39.48660499907387, -0.3591590000000013","{""coordinates"": [-0.359159, 39.48660499907387], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE SAN JOSÉ,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,SAN JOSÉ,PRIVADO,"CL. BENICOLET, 6-8",46020,963933237,963623880,centrosjbs@hotmail.com,Benimaclet,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
287,"39.48253099907389, -0.3862350000000008","{""coordinates"": [-0.386235, 39.48253099907389], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE MÚSICA ASOCIAC. MUSICAL ALSINA,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,ASOCIACIÓN MUSICAL ALSINA,PRIVADO,"CL. GREGORIO GEA, 21",46009,963846151,0,tesaiz_6@hotmail.com,Campanar,MÚSICA
288,"39.4800169990739, -0.4014780000000002","{""coordinates"": [-0.401478, 39.4800169990739], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL LOS DUENDES,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,LOS DUENDES,PRIVADO,"PZ. POLICIA LOCAL, 1",46015,963401006,963401006,losduendes@losduendes.es,Benicalap,D'EDUCACIÓ INFANTIL
